Nom,Descripció,Preu,Imatge,Imatge 2,Imatge 3,Categoria
Pantalón corto (estampado),Pantalón corto (estampado) Gris,29.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477206/item/eugoods_06_477206_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477206/sub/eugoods_477206_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/477206/sub/goods_477206_sub14_3x4.jpg?width=400,hombre
Vaquero ancho (largo),Vaquero ancho (largo) Negro,49.99,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477625/item/eugoods_09_477625_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/477625/sub/goods_477625_sub13_3x4.jpg?width=400,,hombre
Disney in Blue UT Pantalón corto,Disney in Blue UT Pantalón corto Azul Claro,29.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/478520/item/eugoods_63_478520_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/478520/sub/eugoods_478520_sub2_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/478520/sub/eugoods_478520_sub7_3x4.jpg?width=400,hombre
AirSense Pantalón pinzas,AirSense Pantalón pinzas Blanco,39.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/475602/item/eugoods_01_475602_3x4.jpg?width=400,,,hombre
Pantalón jogger (largo),Pantalón jogger (largo) Gris Claro,34.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477877/item/eugoods_05_477877_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/477877/sub/goods_477877_sub14_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/477877/sub/goods_477877_sub15_3x4.jpg?width=400,hombre
Camisa 100% lino prémium ,Camisa 100% lino prémium Verde,49.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477641/item/eugoods_50_477641_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477641/sub/eugoods_477641_sub13_3x4.jpg?width=400,,hombre
Camisa 100% lino prémium cuello mao,Camisa 100% lino prémium cuello mao Marrón,49.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474536/item/eugoods_32_474536_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474536/sub/eugoods_474536_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/474536/sub/goods_474536_sub14_3x4.jpg?width=400,hombre
Camisa 100% lino prémium (rayas),Camisa 100% lino prémium (rayas) Gris,38.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474509/item/eugoods_03_474509_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474509/sub/eugoods_474509_sub7_3x4.jpg?width=400,,hombre
Chaqueta sobrecamisa lino mezcla,Chaqueta sobrecamisa lino mezcla Verde Oscuro,35.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477557/item/eugoods_57_477557_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477557/sub/eugoods_477557_sub1_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/477557/sub/goods_477557_sub13_3x4.jpg?width=400,mujer
Camisa franela (cuadros),Camisa franela (cuadros) Azul Oscuro y Negro,39.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/470187/sub/eugoods_470187_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/470187/sub/goods_470187_sub14_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/470187/sub/goods_470187_sub15_3x4.jpg?width=400,hombre
Camisa 100% lino prémium (rayas),Camisa 100% lino prémium (rayas) Blanco Oscuro,48.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474508/item/eugoods_01_474508_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474508/sub/eugoods_474508_sub13_3x4.jpg?width=400,,hombre
Polo DRY Piqué (rayas),Polo DRY Piqué (rayas) Negro y Azul,29.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477677/item/eugoods_68_477677_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477677/sub/eugoods_477677_sub1_3x4.jpg?width=400,,hombre
Polo DRY Piqué (rayas),Polo DRY Piqué (rayas) Verde,24.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477678/item/eugoods_53_477678_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477678/sub/eugoods_477678_sub1_3x4.jpg?width=400,,hombre
Cinturón piel italiana,Cinturón piel italiana Negro,29.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476853/item/goods_09_476853_3x4.jpg?width=400,,,hombre
Camiseta mini (rayas),Camiseta mini (rayas) Negro,14.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480820/sub/goods_480820_sub14_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/480820/item/eugoods_09_480820_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/480820/sub/eugoods_480820_sub7_3x4.jpg?width=400,mujer
Camiseta cuello con botones,Camiseta cuello con botones Azul,14.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/474412/sub/goods_474412_sub14_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474412/item/eugoods_68_474412_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474412/sub/eugoods_474412_sub7_3x4.jpg?width=400,mujer
Polo mini,Polo mini Azul,19.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476068/sub/goods_476068_sub14_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476068/item/eugoods_61_476068_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476068/sub/eugoods_476068_sub7_3x4.jpg?width=400,mujer
Camiseta 100% algodón Supima cuello redondo,Camiseta 100% algodón Supima cuello redondo Violeta,14.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/474408/sub/goods_474408_sub13_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474408/item/eugoods_78_474408_3x4.jpg?width=400,,mujer
AIRism Camiseta ultraelástica corta,AIRism Camiseta ultraelástica corta Verde Oscuro,7.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/475335/item/eugoods_58_475335_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/475335/sub/eugoods_475335_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/475335/sub/goods_475335_sub13_3x4.jpg?width=400,mujer
Camiseta suave canalé (sin mangas),Camiseta suave canalé (sin mangas) Gris Claro,12.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/474473/sub/goods_474473_sub14_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474473/item/eugoods_02_474473_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/474473/sub/eugoods_474473_sub7_3x4.jpg?width=400,mujer
Sudadera DRY media cremallera,Sudadera DRY media cremallera Negro,12.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/475854/item/eugoods_09_475854_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/475854/sub/eugoods_475854_sub1_3x4.jpg?width=400,,mujer
KAWS + Warhol UT Camiseta estampada,KAWS + Warhol UT Camiseta estampada Negro,7.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476351/item/goods_09_476351_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476351/sub/goods_476351_sub18_3x4.jpg?width=400,,mujer
Camiseta con sujetador cuello halter,Camiseta con sujetador cuello halter Verde,24.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477739/item/eugoods_54_477739_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477739/sub/eugoods_477739_sub9_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/477739/sub/goods_477739_sub14_3x4.jpg?width=400,mujer
Vaquero ancho,Vaquero ancho Azul,95.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476677/item/eugoods_62_476677_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476677/sub/goods_476677_sub14_3x4.jpg?width=400,,mujer
Vaquero recto ancho,Vaquero recto ancho Rosa,8.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/469816/item/eugoods_10_469816_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/469816/sub/goods_469816_sub13_3x4.jpg?width=400,,mujer
Vaquero recto (ancho),Vaquero recto (ancho) Gris,29.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/464744/item/goods_05_464744_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/464744/sub/goods_464744_sub13_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/464744/sub/goods_464744_sub15_3x4.jpg?width=400,mujer
Pantalón corto confort algodón (vaquero),Pantalón corto confort algodón (vaquero) Azul,19.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/473761/item/eugoods_65_473761_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/473761/sub/eugoods_473761_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473761/sub/goods_473761_sub14_3x4.jpg?width=400,mujer
Pantalón corto vaquero ,Pantalón corto vaquero Azul Claro,29.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/475861/item/eugoods_65_475861_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/475861/sub/goods_475861_sub14_3x4.jpg?width=400,,mujer
Mujer Pantalón Corto Vaquero,Mujer Pantalón Corto Vaquero Gris,29.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/475861001/item/eugoods_05_475861001_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/475861001/sub/eugoods_475861001_sub7_3x4.jpg?width=400,,mujer
Falda-pantalón vaquera,Falda-pantalón vaquera Azul,28.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477522/item/eugoods_65_477522_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/477522/sub/goods_477522_sub14_3x4.jpg?width=400,,mujer
AirSense Pantalón pinzas ancho,AirSense Pantalón pinzas ancho Gris,29.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476314/item/eugoods_03_476314_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476314/sub/eugoods_476314_sub7_3x4.jpg?width=400,,mujer
Pantalón lino mezcla barrel leg (largo),Pantalón lino mezcla barrel leg (largo) Naranja,34.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/479310/item/eugoods_26_479310_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479310/sub/goods_479310_sub14_3x4.jpg?width=400,,mujer
"Pantalón confort lino mezcla (largo, rayas)","Pantalón confort lino mezcla (largo, rayas) Verde y Blanco",24.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477925/item/eugoods_56_477925_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/477925/sub/goods_477925_sub14_3x4.jpg?width=400,,mujer
Pantalón corto confort algodón (cuadros),Pantalón corto confort algodón (cuadros) Beige,7.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/468918/item/goods_32_468918_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/468918/sub/goods_468918_sub14_3x4.jpg?width=400,,mujer
AirSense Pantalón bermuda,AirSense Pantalón bermuda Gris,15.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476096/item/eugoods_03_476096_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476096/sub/goods_476096_sub13_3x4.jpg?width=400,,mujer
Pantalón corto bermuda vaquero,Pantalón corto bermuda vaquero Violeta,29.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476946/item/eugoods_78_476946_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476946/sub/goods_476946_sub14_3x4.jpg?width=400,,mujer
Pantalón lana pinzas,Pantalón lana pinzas Negro,114.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473256/item/goods_09_473256_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/473256/sub/eugoods_473256_sub23_3x4.jpg?width=400,,mujer
Vestido ganchillo,Vestido ganchillo Naranja,119.90,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/469731/sub/goods_469731_sub14_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/469731/sub/goods_469731_sub17_3x4.jpg?width=400,,mujer
Mono lino mezcla,Mono lino mezcla Naranja,49.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/475806/item/eugoods_21_475806_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/475806/sub/goods_475806_sub14_3x4.jpg?width=400,,mujer
"Vestido mini algodón (estampado, tirantes)","Vestido mini algodón (estampado, tirantes) Azul",39.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477843/item/eugoods_60_477843_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/477843/sub/goods_477843_sub14_3x4.jpg?width=400,,mujer
Vestido lino mezcla cuello pico (manga corta),Vestido lino mezcla cuello pico (manga corta) naranja,38.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476252/item/eugoods_26_476252_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476252/sub/goods_476252_sub14_3x4.jpg?width=400,,mujer
